year,province,cause,weather,deaths,seriousInjuries,minorInjuries,totalInjuries,severityScore,riskLevel
2025,"สุราษฎร์ธานี","ไม่คุ้นเคยกับการขับขี่ด้านซ้าย","แจ่มใส",0,0,1,1,1,Low
2025,"ประจวบคีรีขันธ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"อ่างทอง","หลับใน","แจ่มใส",0,1,0,1,3,Low
2025,"ศรีสะเกษ","แซงรถอย่างผิดกฎหมาย","แจ่มใส",2,2,0,2,16,High
2025,"กำแพงเพชร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"นนทบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"พิจิตร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"ปทุมธานี","เมาสุรา","แจ่มใส",0,1,0,1,3,Low
2025,"เลย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ประจวบคีรีขันธ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,1,2,4,Medium
2025,"ภูเก็ต","เมาสุรา","แจ่มใส",0,0,1,1,1,Low
2025,"สงขลา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"กาญจนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ตรัง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,1,2,4,Medium
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"แพร่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"ระยอง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สุรินทร์","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"ตาก","หลับใน","แจ่มใส",0,0,1,1,1,Low
2025,"ราชบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ปทุมธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"เชียงใหม่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สิงห์บุรี","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"ร้อยเอ็ด","หลับใน","แจ่มใส",1,0,0,0,5,Medium
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,1,2,4,Medium
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สุรินทร์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"พัทลุง","ใช้โทรศัพท์เคลื่อนที่ขณะขับรถ","แจ่มใส",0,0,1,1,1,Low
2025,"เพชรบูรณ์","ไม่ให้สัญญาณชะลอ/เลี้ยว","แจ่มใส",0,0,3,3,3,Low
2025,"กำแพงเพชร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,0,0,5,Medium
2025,"เชียงใหม่","หลับใน","แจ่มใส",0,1,0,1,3,Low
2025,"มหาสารคาม","หลับใน","แจ่มใส",0,0,1,1,1,Low
2025,"ชลบุรี","เมาสุรา","แจ่มใส",0,1,0,1,3,Low
2025,"ยโสธร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"พัทลุง","หลับใน","แจ่มใส",0,1,2,3,5,Medium
2025,"มุกดาหาร","หลับใน","แจ่มใส",1,2,3,5,14,High
2025,"เพชรบูรณ์","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,1,Low
2025,"กระบี่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"อุดรธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ปทุมธานี","หลับใน","แจ่มใส",0,0,4,4,4,Medium
2025,"สมุทรสาคร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,1,Low
2025,"เชียงใหม่","เมาสุรา","แจ่มใส",1,0,0,0,5,Medium
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,1,Low
2025,"สุรินทร์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,2,3,5,Medium
2025,"สระแก้ว","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"บึงกาฬ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,1,0,1,8,Medium
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"แม่ฮ่องสอน","เมาสุรา","แจ่มใส",0,0,1,1,1,Low
2025,"ชุมพร","ยางเสื่อมสภาพ/ยางแตก","แจ่มใส",0,0,1,1,1,Low
2025,"นครราชสีมา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ภูเก็ต","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,1,Low
2025,"อุทัยธานี","หลับใน","แจ่มใส",1,0,1,1,6,Medium
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,2,Low
2025,"สิงห์บุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,0,0,0,Low
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"อ่างทอง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สิงห์บุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,3,Low
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"พัทลุง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"ประจวบคีรีขันธ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"แพร่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"นครสวรรค์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"แพร่","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,1,1,6,Medium
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,1,0,1,8,Medium
2025,"น่าน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ประจวบคีรีขันธ์","สูญเสียการควบคุม","แจ่มใส",0,0,3,3,3,Low
2025,"อุทัยธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,6,6,6,Medium
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,4,4,4,Medium
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ลำปาง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,6,6,6,Medium
2025,"กาญจนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"ลพบุรี","หลับใน","แจ่มใส",0,0,1,1,1,Low
2025,"บุรีรัมย์","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,0,0,0,Low
2025,"ขอนแก่น","หลับใน","แจ่มใส",1,0,0,0,5,Medium
2025,"นครนายก","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"ร้อยเอ็ด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"หนองคาย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,1,0,1,8,Medium
2025,"พัทลุง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ตรัง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ภูเก็ต","เมาสุรา","แจ่มใส",0,0,1,1,1,Low
2025,"สิงห์บุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,3,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"นนทบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เพชรบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"นครราชสีมา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,3,3,3,Low
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,5,5,5,Medium
2025,"เพชรบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,0,0,5,Medium
2025,"สิงห์บุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"เชียงใหม่","ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร","แจ่มใส",0,0,1,1,1,Low
2025,"ระนอง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เชียงใหม่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,5,5,5,Medium
2025,"เชียงใหม่","หลับใน","แจ่มใส",1,0,0,0,5,Medium
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"นราธิวาส","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,2,0,2,6,Medium
2025,"อุดรธานี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,2,Low
2025,"ตรัง","หลับใน","แจ่มใส",0,0,2,2,2,Low
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"พังงา","หลับใน","แจ่มใส",0,1,8,9,11,High
2025,"สุราษฎร์ธานี","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"หนองบัวลำภู","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ชัยนาท","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สกลนคร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,1,0,1,8,Medium
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,1,1,6,Medium
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"ราชบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"หนองคาย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"เชียงใหม่","หลับใน","แจ่มใส",0,0,2,2,2,Low
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ร้อยเอ็ด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"น่าน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,2,Low
2025,"พัทลุง","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,2,0,2,6,Medium
2025,"สุโขทัย","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,0,0,5,Medium
2025,"เชียงใหม่","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,3,Low
2025,"น่าน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"ประจวบคีรีขันธ์","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,2,Low
2025,"สุพรรณบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,3,3,3,Low
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สงขลา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"อุตรดิตถ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ลพบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"มุกดาหาร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,3,Low
2025,"ปทุมธานี","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,1,2,4,Medium
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ร้อยเอ็ด","เมาสุรา","แจ่มใส",0,0,1,1,1,Low
2025,"สระแก้ว","ขับรถย้อนศร","แจ่มใส",1,0,1,1,6,Medium
2025,"ชุมพร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"สระแก้ว","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"อุดรธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,4,4,4,Medium
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"เชียงใหม่","ความประมาท/เร่งรีบ (วิ่งตัดหน้า)","แจ่มใส",1,0,0,0,5,Medium
2025,"นครสวรรค์","มีกองวัสดุ/สิ่งกีดขวาง","แจ่มใส",0,0,0,0,0,Low
2025,"ตรัง","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,1,Low
2025,"ลพบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,4,4,4,Medium
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"หนองคาย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ขอนแก่น","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,6,6,6,Medium
2025,"ตาก","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"พะเยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เพชรบุรี","มีกองวัสดุ/สิ่งกีดขวาง","แจ่มใส",0,0,1,1,1,Low
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"เพชรบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"บุรีรัมย์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",5,1,31,32,59,High
2025,"ลำพูน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"อำนาจเจริญ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"สมุทรสาคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"พัทลุง","ไม่คุ้นเคยเส้นทาง/ขับรถไม่ชำนาญ","แจ่มใส",0,2,0,2,6,Medium
2025,"มหาสารคาม","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"มุกดาหาร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,3,Low
2025,"อยุธยา","หลับใน","แจ่มใส",0,0,1,1,1,Low
2025,"สระบุรี","ใช้โทรศัพท์เคลื่อนที่ขณะขับรถ","แจ่มใส",0,0,0,0,0,Low
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,3,Low
2025,"นราธิวาส","แซงรถอย่างผิดกฎหมาย","แจ่มใส",0,0,0,0,0,Low
2025,"ภูเก็ต","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,1,Low
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"นครราชสีมา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,2,Low
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ยะลา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เชียงราย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,2,0,2,6,Medium
2025,"ราชบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"พิษณุโลก","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"นนทบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"พะเยา","หลับใน","แจ่มใส",0,0,0,0,0,Low
2025,"เพชรบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"กาญจนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,2,0,2,6,Medium
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,5,Medium
2025,"สิงห์บุรี","หลับใน","แจ่มใส",0,0,2,2,2,Low
2025,"ภูเก็ต","เมาสุรา","แจ่มใส",0,0,1,1,1,Low
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"เลย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"ลพบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"มุกดาหาร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"สตูล","หลับใน","แจ่มใส",1,0,0,0,5,Medium
2025,"ลพบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,0,Low
2025,"ชัยภูมิ","หลับใน","แจ่มใส",0,1,6,7,9,Medium
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,1,Low
2025,"กำแพงเพชร","อุปกรณ์ยานพาหนะบกพร่อง","แจ่มใส",0,0,0,0,0,Low
